Issue-ID,Beschreibung,Status,Schweregrad,Story Points,Projektpfad,Art des Speicherorts,Pfad,Linie,Spalte,Incident-ID,Hilfelink,Assemblyname,Assemblyversion,Öffentlicher Schlüssel für Assembly.,Ausschnitt
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\Views\IntegerValueEditorView.xaml.cs,16,28,T:System.Windows.DependencyProperty,,,,,ViewModelProperty
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\Views\IntegerValueEditorView.xaml.cs,16,19,"M:System.Windows.DependencyObject.SetValue(System.Windows.DependencyProperty,System.Object)",,,,,"SetValue(ViewModelProperty, value)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\Views\IntegerValueEditorView.xaml.cs,15,57,T:System.Windows.DependencyProperty,,,,,ViewModelProperty
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\Views\IntegerValueEditorView.xaml.cs,15,48,M:System.Windows.DependencyObject.GetValue(System.Windows.DependencyProperty),,,,,GetValue(ViewModelProperty)
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\Views\IntegerValueEditorView.xaml.cs,10,50,T:System.Windows.DependencyProperty,,,,,"ViewModelProperty = DependencyProperty.Register(nameof(ViewModel),              typeof(IntegerValueEditorViewModel), typeof(IntegerValueEditorView), new PropertyMetadata(null))"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\Views\IntegerValueEditorView.xaml.cs,26,8,M:System.Windows.Controls.UserControl.#ctor,,,,,"public IntegerValueEditorView()          {              InitializeComponent();                this.WhenActivated(d => d(                  this.Bind(ViewModel, vm => vm.Value, v => v.valueUpDown.Value)              ));          }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\obj\Debug\net6.0-windows\Views\IntegerValueEditorView.g.i.cs,58,109,T:System.Windows.Markup.IComponentConnector,,,,,IComponentConnector
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\Views\IntegerValueEditorView.xaml.cs,7,50,T:System.Windows.Controls.UserControl,,,,,UserControl
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\obj\Debug\net6.0-windows\App.g.i.cs,67,12,M:System.Windows.Application.Run,,,,,app.Run();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\obj\Debug\net6.0-windows\App.g.i.cs,52,12,T:System.Uri,,,,,"this.StartupUri = new System.Uri(""Views/MainWindow.xaml"", System.UriKind.Relative);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\obj\Debug\net6.0-windows\App.g.i.cs,52,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"this.StartupUri = new System.Uri(""Views/MainWindow.xaml"", System.UriKind.Relative);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\obj\Debug\net6.0-windows\App.g.i.cs,52,12,T:System.Uri,,,,,"this.StartupUri = new System.Uri(""Views/MainWindow.xaml"", System.UriKind.Relative);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\obj\Debug\net6.0-windows\App.g.i.cs,52,12,P:System.Windows.Application.StartupUri,,,,,"this.StartupUri = new System.Uri(""Views/MainWindow.xaml"", System.UriKind.Relative);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\App.xaml.cs,13,8,T:System.Windows.StartupEventArgs,,,,,protected override void OnStartup(StartupEventArgs e)
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\App.xaml.cs,15,12,M:System.Windows.Application.OnStartup(System.Windows.StartupEventArgs),,,,,base.OnStartup(e);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\App.xaml.cs,11,31,M:System.Windows.Application.#ctor,,,,,Application
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\App.xaml.cs,11,31,T:System.Windows.Application,,,,,Application
NuGet.0003,Die Funktionalität des NuGet-Pakets ist im Frameworkverweis enthalten,Active,Mandatory,1,ExampleCodeGenApp\ExampleCodeGenApp.csproj,File,ExampleCodeGenApp\ExampleCodeGenApp.csproj,,,System.Buffers 4.6.1,,,,,"System.Buffers, 4.6.1  Empfehlung:  Im neuen Frameworkverweis enthaltene Paketfunktionalität"
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,ExampleCodeGenApp\ExampleCodeGenApp.csproj,File,ExampleCodeGenApp\ExampleCodeGenApp.csproj,,,System.Collections.Immutable 9.0.7,,,,,"System.Collections.Immutable, 9.0.7  Empfehlung:  Remove System.Collections.Immutable, and replace with new package System.Collections.Immutable 10.0.3"
NuGet.0003,Die Funktionalität des NuGet-Pakets ist im Frameworkverweis enthalten,Active,Mandatory,1,ExampleCodeGenApp\ExampleCodeGenApp.csproj,File,ExampleCodeGenApp\ExampleCodeGenApp.csproj,,,System.Drawing.Primitives 4.3.0,,,,,"System.Drawing.Primitives, 4.3.0  Empfehlung:  Im neuen Frameworkverweis enthaltene Paketfunktionalität"
NuGet.0003,Die Funktionalität des NuGet-Pakets ist im Frameworkverweis enthalten,Active,Mandatory,1,ExampleCodeGenApp\ExampleCodeGenApp.csproj,File,ExampleCodeGenApp\ExampleCodeGenApp.csproj,,,System.Memory 4.6.3,,,,,"System.Memory, 4.6.3  Empfehlung:  Im neuen Frameworkverweis enthaltene Paketfunktionalität"
NuGet.0003,Die Funktionalität des NuGet-Pakets ist im Frameworkverweis enthalten,Active,Mandatory,1,ExampleCodeGenApp\ExampleCodeGenApp.csproj,File,ExampleCodeGenApp\ExampleCodeGenApp.csproj,,,System.Numerics.Vectors 4.6.1,,,,,"System.Numerics.Vectors, 4.6.1  Empfehlung:  Im neuen Frameworkverweis enthaltene Paketfunktionalität"
NuGet.0003,Die Funktionalität des NuGet-Pakets ist im Frameworkverweis enthalten,Active,Mandatory,1,ExampleCodeGenApp\ExampleCodeGenApp.csproj,File,ExampleCodeGenApp\ExampleCodeGenApp.csproj,,,System.Threading.Tasks.Extensions 4.6.3,,,,,"System.Threading.Tasks.Extensions, 4.6.3  Empfehlung:  Im neuen Frameworkverweis enthaltene Paketfunktionalität"
NuGet.0003,Die Funktionalität des NuGet-Pakets ist im Frameworkverweis enthalten,Active,Mandatory,1,ExampleCodeGenApp\ExampleCodeGenApp.csproj,File,ExampleCodeGenApp\ExampleCodeGenApp.csproj,,,System.ValueTuple 4.6.1,,,,,"System.ValueTuple, 4.6.1  Empfehlung:  Im neuen Frameworkverweis enthaltene Paketfunktionalität"
NuGet.0003,Die Funktionalität des NuGet-Pakets ist im Frameworkverweis enthalten,Active,Mandatory,1,ExampleCodeGenApp\ExampleCodeGenApp.csproj,File,ExampleCodeGenApp\ExampleCodeGenApp.csproj,,,System.Data.DataSetExtensions 4.5.0,,,,,"System.Data.DataSetExtensions, 4.5.0  Empfehlung:  Im neuen Frameworkverweis enthaltene Paketfunktionalität"
Project.0002,Die Zielframeworks des Projekts müssen geändert werden,Active,Mandatory,1,ExampleCodeGenApp\ExampleCodeGenApp.csproj,File,ExampleCodeGenApp\ExampleCodeGenApp.csproj,,,,,,,,Aktuelles Zielframework: net6.0-windows Empfohlenes Zielframework: net10.0-windows
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCodeGenApp\ExampleCodeGenApp.csproj,File,ExampleCodeGenApp\obj\Debug\net6.0-windows\GeneratedInternalTypeHelper.g.i.cs,19,76,M:System.Windows.Markup.InternalTypeHelper.#ctor,,,,,InternalTypeHelper
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCodeGenApp\ExampleCodeGenApp.csproj,File,ExampleCodeGenApp\obj\Debug\net6.0-windows\GeneratedInternalTypeHelper.g.i.cs,19,76,T:System.Windows.Markup.InternalTypeHelper,,,,,InternalTypeHelper
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCodeGenApp\ExampleCodeGenApp.csproj,File,ExampleCodeGenApp\Views\Converters\TypeVisibilityCheck.cs,18,12,T:System.Windows.Visibility,,,,,return ((Type)parameter).IsInstanceOfType(value) ? Visibility.Visible : Visibility.Collapsed;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCodeGenApp\ExampleCodeGenApp.csproj,File,ExampleCodeGenApp\Views\Converters\TypeVisibilityCheck.cs,18,12,T:System.Windows.Visibility,,,,,return ((Type)parameter).IsInstanceOfType(value) ? Visibility.Visible : Visibility.Collapsed;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCodeGenApp\ExampleCodeGenApp.csproj,File,ExampleCodeGenApp\Views\Converters\TypeVisibilityCheck.cs,18,12,F:System.Windows.Visibility.Collapsed,,,,,return ((Type)parameter).IsInstanceOfType(value) ? Visibility.Visible : Visibility.Collapsed;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCodeGenApp\ExampleCodeGenApp.csproj,File,ExampleCodeGenApp\Views\Converters\TypeVisibilityCheck.cs,18,12,T:System.Windows.Visibility,,,,,return ((Type)parameter).IsInstanceOfType(value) ? Visibility.Visible : Visibility.Collapsed;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCodeGenApp\ExampleCodeGenApp.csproj,File,ExampleCodeGenApp\Views\Converters\TypeVisibilityCheck.cs,18,12,T:System.Windows.Visibility,,,,,return ((Type)parameter).IsInstanceOfType(value) ? Visibility.Visible : Visibility.Collapsed;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCodeGenApp\ExampleCodeGenApp.csproj,File,ExampleCodeGenApp\Views\Converters\TypeVisibilityCheck.cs,18,12,F:System.Windows.Visibility.Visible,,,,,return ((Type)parameter).IsInstanceOfType(value) ? Visibility.Visible : Visibility.Collapsed;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCodeGenApp\ExampleCodeGenApp.csproj,File,ExampleCodeGenApp\Views\Converters\TypeVisibilityCheck.cs,14,39,T:System.Windows.Data.IValueConverter,,,,,IValueConverter
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCodeGenApp\ExampleCodeGenApp.csproj,File,ExampleCodeGenApp\obj\Debug\net6.0-windows\Views\Editors\GroupEndpointEditorView.g.i.cs,127,12,T:System.Windows.Controls.Button,,,,,this.deleteButton = ((System.Windows.Controls.Button)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCodeGenApp\ExampleCodeGenApp.csproj,File,ExampleCodeGenApp\obj\Debug\net6.0-windows\Views\Editors\GroupEndpointEditorView.g.i.cs,124,12,T:System.Windows.Controls.Button,,,,,this.downButton = ((System.Windows.Controls.Button)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCodeGenApp\ExampleCodeGenApp.csproj,File,ExampleCodeGenApp\obj\Debug\net6.0-windows\Views\Editors\GroupEndpointEditorView.g.i.cs,121,12,T:System.Windows.Controls.Button,,,,,this.upButton = ((System.Windows.Controls.Button)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCodeGenApp\ExampleCodeGenApp.csproj,File,ExampleCodeGenApp\obj\Debug\net6.0-windows\Views\Editors\GroupEndpointEditorView.g.i.cs,118,12,T:System.Windows.Controls.Primitives.ToggleButton,,,,,this.editNameButton = ((System.Windows.Controls.Primitives.ToggleButton)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCodeGenApp\ExampleCodeGenApp.csproj,File,ExampleCodeGenApp\obj\Debug\net6.0-windows\Views\Editors\GroupEndpointEditorView.g.i.cs,115,12,T:System.Windows.Controls.TextBox,,,,,this.nameTextBox = ((System.Windows.Controls.TextBox)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCodeGenApp\ExampleCodeGenApp.csproj,File,ExampleCodeGenApp\obj\Debug\net6.0-windows\Views\Editors\GroupEndpointEditorView.g.i.cs,99,12,T:System.Windows.Application,,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCodeGenApp\ExampleCodeGenApp.csproj,File,ExampleCodeGenApp\obj\Debug\net6.0-windows\Views\Editors\GroupEndpointEditorView.g.i.cs,99,12,"M:System.Windows.Application.LoadComponent(System.Object,System.Uri)",,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ExampleCodeGenApp\ExampleCodeGenApp.csproj,File,ExampleCodeGenApp\obj\Debug\net6.0-windows\Views\Editors\GroupEndpointEditorView.g.i.cs,96,12,T:System.Uri,,,,,"System.Uri resourceLocater = new System.Uri(""/ExampleCodeGenApp;component/views/editors/groupendpointeditorview.xaml"", System.UriKind.Relative);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ExampleCodeGenApp\ExampleCodeGenApp.csproj,File,ExampleCodeGenApp\obj\Debug\net6.0-windows\Views\Editors\GroupEndpointEditorView.g.i.cs,96,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"System.Uri resourceLocater = new System.Uri(""/ExampleCodeGenApp;component/views/editors/groupendpointeditorview.xaml"", System.UriKind.Relative);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCodeGenApp\ExampleCodeGenApp.csproj,File,ExampleCodeGenApp\obj\Debug\net6.0-windows\Views\Editors\GroupEndpointEditorView.g.i.cs,79,48,T:System.Windows.Controls.Button,,,,,deleteButton
